key	fr	es	it	ja	ko
not a friend any more; you can read, not write	plus un ami ; vous pouvez lire, pas écrire	ya no es tu amigo; puedes leer, no escribir	non è più tuo amico; puoi leggere, non scrivere	もうフレンドではありません。閲覧のみ可能です	더 이상 친구가 아닙니다. 읽기만 가능합니다
No messages yet. Say hello.	Pas encore de messages. Dites bonjour.	Aún no hay mensajes. Saluda.	Nessun messaggio ancora. Saluta.	まだメッセージはありません。挨拶してみましょう。	아직 메시지가 없습니다. 인사해 보세요.
Send	Envoyer	Enviar	Invia	送信	보내기
sending...	envoi...	enviando...	invio...	送信中...	보내는 중...
unlocked	débloqué	desbloqueado	sbloccato	解除済み	달성
%s has not accepted you as a friend yet.	%s ne vous a pas encore accepté comme ami.	%s aún no te ha aceptado como amigo.	%s non ti ha ancora accettato come amico.	%s はまだあなたをフレンドとして承認していません。	%s님이 아직 친구 요청을 수락하지 않았습니다.
%s: %u / %u G, %u of %zu	%s : %u / %u G, %u sur %zu	%s: %u / %u G, %u de %zu	%s: %u / %u G, %u su %zu	%s: %u / %u G、%u / %zu	%s: %u / %u G, %u개 / 전체 %zu개
You: %u / %u G, %u of %zu	Vous : %u / %u G, %u sur %zu	Tú: %u / %u G, %u de %zu	Tu: %u / %u G, %u su %zu	あなた: %u / %u G、%u / %zu	나: %u / %u G, %u개 / 전체 %zu개
Every achievement	Tous les succès	Todos los logros	Tutti gli obiettivi	すべての実績	모든 도전 과제
Only what they have and you don't	Seulement ce qu'ils ont et pas vous	Solo lo que tienen y tú no	Solo quelli che hanno loro e tu no	相手だけが持っているもの	상대만 달성한 것
Only what you have and they don't	Seulement ce que vous avez et pas eux	Solo lo que tienes tú y ellos no	Solo quelli che hai tu e loro no	あなただけが持っているもの	나만 달성한 것
Nothing they have that you don't.	Rien qu'ils ont et pas vous.	Nada que tengan y tú no.	Niente che abbiano loro e tu no.	相手だけが持っている実績はありません。	상대만 달성한 것이 없습니다.
Nothing you have that they don't.	Rien que vous avez et pas eux.	Nada que tengas tú y ellos no.	Niente che abbia tu e loro no.	あなただけが持っている実績はありません。	나만 달성한 것이 없습니다.
< Friends	< Amis	< Amigos	< Amici	< フレンド	< 친구
- member since %s	- membre depuis le %s	- miembro desde el %s	- membro dal %s	- %s から参加	- %s 가입
Remove friend	Retirer l'ami	Quitar amigo	Rimuovi amico	フレンドを削除	친구 삭제
Accept request	Accepter la demande	Aceptar solicitud	Accetta richiesta	申請を承認	요청 수락
friend request sent	demande d'ami envoyée	solicitud de amistad enviada	richiesta di amicizia inviata	フレンド申請を送信しました	친구 요청 보냄
%s's achievements are visible to the friends they have accepted.	Les succès de %s sont visibles par les amis qu'il a acceptés.	Los logros de %s son visibles para los amigos que ha aceptado.	Gli obiettivi di %s sono visibili agli amici che ha accettato.	%s の実績は、承認したフレンドにのみ表示されます。	%s님의 도전 과제는 수락한 친구에게만 표시됩니다.
This server has no titles imported.	Ce serveur n'a aucun jeu importé.	Este servidor no tiene juegos importados.	Questo server non ha giochi importati.	このサーバーにはタイトルが登録されていません。	이 서버에 등록된 타이틀이 없습니다.
- last unlock %s	- dernier débloqué le %s	- último desbloqueo el %s	- ultimo sbloccato il %s	- 最終解除 %s	- 마지막 달성 %s
Comparing	Comparaison	Comparando	Confronto	比較中	비교 중
Compare achievements	Comparer les succès	Comparar logros	Confronta obiettivi	実績を比較	도전 과제 비교
Back	Retour	Volver	Indietro	戻る	뒤로
Saved accounts	Comptes enregistrés	Cuentas guardadas	Account salvati	保存済みアカウント	저장된 계정
Use	Utiliser	Usar	Usa	使用	사용
Forget	Oublier	Olvidar	Dimentica	削除	잊기
Add another account	Ajouter un autre compte	Añadir otra cuenta	Aggiungi un altro account	別のアカウントを追加	다른 계정 추가
Or sign in	Ou se connecter	O iniciar sesión	Oppure accedi	またはサインイン	또는 로그인
Create an account	Créer un compte	Crear una cuenta	Crea un account	アカウントを作成	계정 만들기
Forgot your password	Mot de passe oublié	Contraseña olvidada	Password dimenticata	パスワードを忘れた場合	비밀번호를 잊으셨나요
A new password was sent to %s.	Un nouveau mot de passe a été envoyé à %s.	Se ha enviado una nueva contraseña a %s.	Una nuova password è stata inviata a %s.	新しいパスワードを %s に送りました。	새 비밀번호를 %s(으)로 보냈습니다.
Sign in with it here (check spam if it is not there). It works for 24 hours; your old password still works until you use the new one. Once in, change it under Account.	Connectez-vous avec ici (vérifiez les spams s'il n'est pas là). Il est valable 24 heures ; votre ancien mot de passe fonctionne encore jusqu'à ce que vous utilisiez le nouveau. Une fois connecté, changez-le dans Compte.	Inicia sesión con ella aquí (mira el spam si no está). Vale 24 horas; tu contraseña antigua sigue funcionando hasta que uses la nueva. Una vez dentro, cámbiala en Cuenta.	Accedi qui con quella (controlla lo spam se non la trovi). Vale 24 ore; la vecchia password funziona ancora finché non usi la nuova. Una volta dentro, cambiala in Account.	そのパスワードでここからサインインしてください（届かない場合は迷惑メールも確認）。有効期間は24時間で、新しい方を使うまでは古いパスワードも使えます。サインイン後、アカウント画面で変更してください。	그 비밀번호로 여기서 로그인하세요(없으면 스팸함 확인). 24시간 동안 유효하며, 새 비밀번호를 사용하기 전까지 기존 비밀번호도 작동합니다. 로그인 후 계정에서 변경하세요.
Gamertag	Gamertag	Gamertag	Gamertag	ゲーマータグ	게이머태그
Sign in	Se connecter	Iniciar sesión	Accedi	サインイン	로그인
Forgot your password?	Mot de passe oublié ?	¿Olvidaste tu contraseña?	Password dimenticata?	パスワードを忘れましたか？	비밀번호를 잊으셨나요?
Email	E-mail	Correo	E-mail	メール	이메일
optional	facultatif	opcional	facoltativo	任意	선택
Only used to get back in if you forget your password. Nothing else is ever sent to it: no news, no updates, nothing. It is never shown to other players.	Utilisé uniquement pour récupérer l'accès si vous oubliez votre mot de passe. Rien d'autre n'y est jamais envoyé : ni actualités, ni mises à jour, rien. Il n'est jamais montré aux autres joueurs.	Solo se usa para recuperar el acceso si olvidas tu contraseña. Nunca se envía nada más: ni noticias, ni novedades, nada. Nunca se muestra a otros jugadores.	Usata solo per rientrare se dimentichi la password. Non viene mai inviato altro: niente notizie, niente aggiornamenti, niente. Non è mai mostrata agli altri giocatori.	パスワードを忘れたときの復旧にのみ使います。お知らせや更新情報など、他のメールは一切送りません。他のプレイヤーに表示されることもありません。	비밀번호를 잊었을 때 복구 용도로만 사용됩니다. 소식, 업데이트 등 다른 메일은 절대 보내지 않으며, 다른 플레이어에게 표시되지 않습니다.
Without one, a forgotten password means the account is lost.	Sans e-mail, un mot de passe oublié signifie un compte perdu.	Sin correo, una contraseña olvidada significa perder la cuenta.	Senza, una password dimenticata significa perdere l'account.	未設定の場合、パスワードを忘れるとアカウントは失われます。	이메일이 없으면 비밀번호를 잊었을 때 계정을 잃게 됩니다.
Create account	Créer le compte	Crear cuenta	Crea account	アカウント作成	계정 만들기
Already have an account? Sign in	Vous avez déjà un compte ? Se connecter	¿Ya tienes una cuenta? Inicia sesión	Hai già un account? Accedi	アカウントをお持ちですか？サインイン	이미 계정이 있나요? 로그인
A new password goes to the email you gave when you created the account. Your current password keeps working until you sign in with the new one; change it afterwards under Account. An account created without an email cannot be recovered.	Un nouveau mot de passe est envoyé à l'e-mail donné à la création du compte. Votre mot de passe actuel fonctionne encore jusqu'à ce que vous vous connectiez avec le nouveau ; changez-le ensuite dans Compte. Un compte créé sans e-mail ne peut pas être récupéré.	Se envía una nueva contraseña al correo que diste al crear la cuenta. Tu contraseña actual sigue funcionando hasta que inicies sesión con la nueva; cámbiala después en Cuenta. Una cuenta creada sin correo no se puede recuperar.	Una nuova password va all'e-mail data alla creazione dell'account. La password attuale funziona ancora finché non accedi con la nuova; cambiala poi in Account. Un account creato senza e-mail non può essere recuperato.	アカウント作成時に登録したメールアドレスに新しいパスワードを送ります。新しい方でサインインするまで現在のパスワードも使えます。サインイン後、アカウント画面で変更してください。メール未登録のアカウントは復旧できません。	계정을 만들 때 입력한 이메일로 새 비밀번호를 보냅니다. 새 비밀번호로 로그인하기 전까지 현재 비밀번호도 작동합니다. 로그인 후 계정에서 변경하세요. 이메일 없이 만든 계정은 복구할 수 없습니다.
Email me a new password	M'envoyer un nouveau mot de passe	Enviarme una nueva contraseña	Inviami una nuova password	新しいパスワードをメールで受け取る	새 비밀번호 이메일로 받기
Back to sign in	Retour à la connexion	Volver a iniciar sesión	Torna all'accesso	サインインに戻る	로그인으로 돌아가기
Advanced: server	Avancé : serveur	Avanzado: servidor	Avanzate: server	詳細：サーバー	고급: 서버
Use this server	Utiliser ce serveur	Usar este servidor	Usa questo server	このサーバーを使う	이 서버 사용
Back to the default	Revenir au serveur par défaut	Volver al predeterminado	Torna al predefinito	既定に戻す	기본값으로 되돌리기
allow_insecure is on in launcher.json: plain http, no certificate check	allow_insecure est activé dans launcher.json : http en clair, aucune vérification de certificat	allow_insecure está activado en launcher.json: http sin cifrar, sin comprobar certificados	allow_insecure è attivo in launcher.json: http in chiaro, nessun controllo del certificato	launcher.json で allow_insecure が有効です：平文 http、証明書は検証しません	launcher.json에서 allow_insecure가 켜져 있습니다: 평문 http, 인증서 검사 없음
Signing in...	Connexion...	Iniciando sesión...	Accesso...	サインイン中...	로그인 중...
Creating the account...	Création du compte...	Creando la cuenta...	Creazione dell'account...	アカウント作成中...	계정 만드는 중...
Sending the mail...	Envoi de l'e-mail...	Enviando el correo...	Invio dell'e-mail...	メール送信中...	메일 보내는 중...
A gamertag starts with a letter and is at most 15 letters, digits and single spaces.	Un gamertag commence par une lettre et fait au plus 15 lettres, chiffres et espaces simples.	Un gamertag empieza por una letra y tiene como máximo 15 letras, cifras y espacios simples.	Un gamertag inizia con una lettera ed è al massimo 15 lettere, cifre e spazi singoli.	ゲーマータグは英字で始まり、英字・数字・単一スペースで最大15文字です。	게이머태그는 영문자로 시작하고 영문자, 숫자, 단일 공백으로 최대 15자입니다.
That does not look like an email address. Leave it empty if you would rather not give one.	Cela ne ressemble pas à une adresse e-mail. Laissez vide si vous préférez ne pas en donner.	Eso no parece una dirección de correo. Déjalo vacío si prefieres no dar una.	Non sembra un indirizzo e-mail. Lascialo vuoto se preferisci non darne uno.	メールアドレスの形式ではありません。登録しない場合は空欄のままにしてください。	이메일 주소 형식이 아닙니다. 입력하지 않으려면 비워 두세요.
That gamertag (or email) already has an account.	Ce gamertag (ou cet e-mail) a déjà un compte.	Ese gamertag (o correo) ya tiene una cuenta.	Questo gamertag (o e-mail) ha già un account.	このゲーマータグ（またはメール）は既に使われています。	이 게이머태그(또는 이메일)는 이미 계정이 있습니다.
No account has that gamertag.	Aucun compte n'a ce gamertag.	Ninguna cuenta tiene ese gamertag.	Nessun account ha questo gamertag.	このゲーマータグのアカウントはありません。	이 게이머태그의 계정이 없습니다.
This account was created without an email, so there is nowhere to send a new password. It cannot be recovered.	Ce compte a été créé sans e-mail, il n'y a donc nulle part où envoyer un nouveau mot de passe. Il ne peut pas être récupéré.	Esta cuenta se creó sin correo, así que no hay dónde enviar una nueva contraseña. No se puede recuperar.	Questo account è stato creato senza e-mail, quindi non c'è dove inviare una nuova password. Non può essere recuperato.	このアカウントはメール未登録で作成されたため、新しいパスワードの送り先がありません。復旧できません。	이 계정은 이메일 없이 만들어져 새 비밀번호를 보낼 곳이 없습니다. 복구할 수 없습니다.
This server cannot send email, so it cannot recover accounts.	Ce serveur ne peut pas envoyer d'e-mails, il ne peut donc pas récupérer les comptes.	Este servidor no puede enviar correos, así que no puede recuperar cuentas.	Questo server non può inviare e-mail, quindi non può recuperare gli account.	このサーバーはメールを送信できないため、アカウントを復旧できません。	이 서버는 이메일을 보낼 수 없어 계정을 복구할 수 없습니다.
The server could not send the mail just now. Try again in a minute.	Le serveur n'a pas pu envoyer l'e-mail. Réessayez dans une minute.	El servidor no pudo enviar el correo ahora. Inténtalo en un minuto.	Il server non è riuscito a inviare l'e-mail. Riprova tra un minuto.	サーバーがメールを送信できませんでした。1分ほど待って再試行してください。	서버가 지금 메일을 보내지 못했습니다. 잠시 후 다시 시도하세요.
A new password was mailed a moment ago. Check the inbox (and spam); another can be sent in 15 minutes.	Un nouveau mot de passe a été envoyé il y a un instant. Vérifiez la boîte de réception (et les spams) ; un autre pourra être envoyé dans 15 minutes.	Se envió una nueva contraseña hace un momento. Mira la bandeja de entrada (y el spam); se podrá enviar otra en 15 minutos.	Una nuova password è stata inviata poco fa. Controlla la posta (e lo spam); un'altra potrà essere inviata tra 15 minuti.	新しいパスワードは先ほど送信済みです。受信トレイ（と迷惑メール）を確認してください。次の送信は15分後に可能です。	새 비밀번호를 방금 보냈습니다. 받은편지함(과 스팸함)을 확인하세요. 15분 후에 다시 보낼 수 있습니다.
Too many tries from this address. Wait a while.	Trop de tentatives depuis cette adresse. Patientez un peu.	Demasiados intentos desde esta dirección. Espera un poco.	Troppi tentativi da questo indirizzo. Aspetta un po'.	このアドレスからの試行が多すぎます。しばらく待ってください。	이 주소에서 시도가 너무 많습니다. 잠시 기다리세요.
No server is configured: open Advanced and press Back to the default.	Aucun serveur n'est configuré : ouvrez Avancé et appuyez sur Revenir au serveur par défaut.	No hay servidor configurado: abre Avanzado y pulsa Volver al predeterminado.	Nessun server configurato: apri Avanzate e premi Torna al predefinito.	サーバーが設定されていません。「詳細」を開いて「既定に戻す」を押してください。	서버가 설정되지 않았습니다. 고급을 열고 기본값으로 되돌리기를 누르세요.
Open	Ouvrir	Abrir	Apri	開く	열기
Support XenonLive	Soutenir XenonLive	Apoyar a XenonLive	Sostieni XenonLive	XenonLive を支援	XenonLive 후원
XenonLive is a spare-time project by one developer, built with AI assistance: the ports, this launcher, the overlay, and the server that keeps your friends, invitations, messages and achievements. Running that server costs money every month, and the rest costs evenings. If it has given you something, here is how to give a little back.	XenonLive est un projet de temps libre d'un seul développeur, réalisé avec l'aide de l'IA : les ports, ce lanceur, l'overlay et le serveur qui conserve vos amis, invitations, messages et succès. Faire tourner ce serveur coûte de l'argent chaque mois, et le reste coûte des soirées. Si cela vous a apporté quelque chose, voici comment rendre un peu.	XenonLive es un proyecto de tiempo libre de un solo desarrollador, hecho con ayuda de IA: los ports, este lanzador, el overlay y el servidor que guarda tus amigos, invitaciones, mensajes y logros. Mantener ese servidor cuesta dinero cada mes, y el resto cuesta tardes. Si te ha aportado algo, así puedes devolver un poco.	XenonLive è un progetto nel tempo libero di un solo sviluppatore, realizzato con l'aiuto dell'IA: i port, questo launcher, l'overlay e il server che conserva amici, inviti, messaggi e obiettivi. Far girare quel server costa soldi ogni mese, e il resto costa serate. Se ti ha dato qualcosa, ecco come restituire un po'.	XenonLive は一人の開発者が余暇に AI の支援を受けて作っているプロジェクトです。移植版、このランチャー、オーバーレイ、そしてフレンド・招待・メッセージ・実績を保持するサーバー。サーバーの運用には毎月費用がかかり、それ以外には夜の時間がかかっています。何か得るものがあったなら、少しお返しいただける方法がこちらです。	XenonLive는 한 명의 개발자가 여가 시간에 AI의 도움을 받아 만드는 프로젝트입니다. 포트, 이 런처, 오버레이, 그리고 친구·초대·메시지·도전 과제를 보관하는 서버까지. 서버 운영에는 매달 비용이 들고, 나머지는 저녁 시간이 듭니다. 얻은 것이 있다면, 조금 돌려줄 방법은 이렇습니다.
Sponsor	Sponsoriser	Patrocinar	Sostieni	スポンサー	후원
Contribute	Contribuer	Contribuir	Contribuisci	貢献	기여
A clear bug report is a contribution. So is a fix.	Un rapport de bug clair est une contribution. Un correctif aussi.	Un informe de error claro es una contribución. Una corrección también.	Una segnalazione di bug chiara è un contributo. Anche una correzione lo è.	わかりやすいバグ報告も貢献です。修正も同じく。	명확한 버그 보고도 기여입니다. 수정도 마찬가지입니다.
Thank you for playing.	Merci de jouer.	Gracias por jugar.	Grazie per giocare.	遊んでくれてありがとう。	플레이해 주셔서 감사합니다.
the XenonLive client could not start	le client XenonLive n'a pas pu démarrer	el cliente de XenonLive no pudo iniciarse	il client XenonLive non è riuscito ad avviarsi	XenonLive クライアントを起動できませんでした	XenonLive 클라이언트를 시작할 수 없습니다
Could not save launcher.json: 	Impossible d'enregistrer launcher.json : 	No se pudo guardar launcher.json: 	Impossibile salvare launcher.json: 	launcher.json を保存できません: 	launcher.json을 저장할 수 없습니다:
that account needs its password again	ce compte a de nouveau besoin de son mot de passe	esa cuenta necesita su contraseña de nuevo	quell'account richiede di nuovo la password	このアカウントは再度パスワードが必要です	이 계정은 비밀번호를 다시 입력해야 합니다
quit the running game first: it holds the current account's session	quittez d'abord le jeu en cours : il détient la session du compte actuel	cierra primero el juego abierto: tiene la sesión de la cuenta actual	chiudi prima il gioco aperto: detiene la sessione dell'account attuale	先に起動中のゲームを終了してください。現在のアカウントのセッションを保持しています	먼저 실행 중인 게임을 종료하세요. 현재 계정의 세션을 갖고 있습니다
could not write session.json	impossible d'écrire session.json	no se pudo escribir session.json	impossibile scrivere session.json	session.json を書き込めません	session.json을 쓸 수 없습니다
title 	titre 	título 	titolo 	タイトル 	타이틀
 failed: 	 a échoué : 	 ha fallado: 	 non riuscito: 	 に失敗: 	 실패:
it is over 256 characters	il dépasse 256 caractères	supera los 256 caracteres	supera i 256 caratteri	256文字を超えています	256자를 초과했습니다
you are not friends	vous n'êtes pas amis	no sois amigos	non siete amici	フレンドではありません	친구가 아닙니다
Message not sent: 	Message non envoyé : 	Mensaje no enviado: 	Messaggio non inviato: 	メッセージを送れません: 	메시지를 보내지 못함:
Recovery email saved	E-mail de récupération enregistré	Correo de recuperación guardado	E-mail di recupero salvata	復旧用メールアドレスを保存しました	복구용 이메일 저장됨
Country saved	Pays enregistré	País guardado	Paese salvato	国を保存しました	국가 저장됨
Password changed; every other device is signed out	Mot de passe changé ; tous les autres appareils sont déconnectés	Contraseña cambiada; se ha cerrado la sesión en los demás dispositivos	Password cambiata; tutti gli altri dispositivi sono disconnessi	パスワードを変更しました。他の端末はすべてサインアウトされました	비밀번호 변경됨. 다른 모든 기기에서 로그아웃되었습니다
Bug report sent: 	Rapport de bug envoyé : 	Informe de error enviado: 	Segnalazione di bug inviata: 	バグ報告を送信しました: 	버그 보고 전송됨:
at most 10 reports a day	au plus 10 rapports par jour	como máximo 10 informes al día	al massimo 10 segnalazioni al giorno	1日あたり最大10件です	하루 최대 10건입니다
could not read 	impossible de lire 	no se pudo leer 	impossibile leggere 	読み込めません: 	읽을 수 없음:
 is too big (4 MiB a file, 8 MiB a report)	 est trop gros (4 Mio par fichier, 8 Mio par rapport)	 es demasiado grande (4 MiB por archivo, 8 MiB por informe)	 è troppo grande (4 MiB per file, 8 MiB per segnalazione)	 が大きすぎます（1ファイル 4 MiB、1報告 8 MiB まで）	 이(가) 너무 큽니다 (파일당 4 MiB, 보고서당 8 MiB)
 is neither an image nor text	 n'est ni une image ni du texte	 no es ni una imagen ni texto	 non è né un'immagine né testo	 は画像でもテキストでもありません	 은(는) 이미지도 텍스트도 아닙니다
Not sent: 	Non envoyé : 	No enviado: 	Non inviato: 	未送信: 	보내지 못함:
Report deleted	Rapport supprimé	Informe borrado	Segnalazione eliminata	報告を削除しました	보고서 삭제됨
Could not delete the report: 	Impossible de supprimer le rapport : 	No se pudo borrar el informe: 	Impossibile eliminare la segnalazione: 	報告を削除できません: 	보고서를 삭제할 수 없음:
This account is no longer a developer	Ce compte n'est plus développeur	Esta cuenta ya no es de desarrollador	Questo account non è più sviluppatore	このアカウントは開発者ではなくなりました	이 계정은 더 이상 개발자가 아닙니다
Could not change the state: 	Impossible de changer l'état : 	No se pudo cambiar el estado: 	Impossibile cambiare lo stato: 	状態を変更できません: 	상태를 변경할 수 없음:
Could not fetch 	Impossible de récupérer 	No se pudo descargar 	Impossibile scaricare 	取得できません: 	받을 수 없음:
your email	votre e-mail	tu correo	la tua e-mail	あなたのメール	내 이메일
This capture cannot be sent: 	Cette capture ne peut pas être envoyée : 	Esta captura no se puede enviar: 	Questa cattura non può essere inviata: 	このキャプチャは送信できません: 	이 캡처는 보낼 수 없습니다:
Give it a title.	Donnez-lui un titre.	Ponle un título.	Dagli un titolo.	タイトルを付けてください。	제목을 입력하세요.
Say what happened.	Dites ce qui s'est passé.	Cuenta qué pasó.	Racconta cosa è successo.	何が起きたか書いてください。	무슨 일이 있었는지 적어 주세요.
Accept invite	Accepter l'invitation	Aceptar invitación	Accetta invito	招待を承認	초대 수락
Accepted. 	Accepté. 	Aceptada. 	Accettato. 	承認しました。	수락했습니다.
 has been told; it joins from there.	 a été prévenu ; il rejoint à partir de là.	 ya lo sabe; se une desde ahí.	 è stato avvisato; entra da lì.	 に伝えました。そこから参加します。	에 전달되어 거기서 참가합니다.
Accepted, but a different title is running. Quit it and press Play on 	Accepté, mais un autre jeu est en cours. Quittez-le et appuyez sur Jouer sur 	Aceptada, pero hay otro juego abierto. Ciérralo y pulsa Jugar en 	Accettato, ma è aperto un altro gioco. Chiudilo e premi Gioca su 	承認しましたが、別のゲームが起動中です。終了してから「プレイ」を押してください: 	수락했지만 다른 게임이 실행 중입니다. 종료한 뒤 플레이를 누르세요:
 to join.	 pour rejoindre.	 para unirte.	 per entrare.	（参加するため）。	 (참가하려면).
Accepted 	Invitation de 	Aceptada la invitación de 	Accettato l'invito di 	承認: 	수락:
's invitation. Add 	 acceptée. Ajoutez 	. Añade 	. Aggiungi 	 の招待。ホームタブで 	님의 초대. 홈 탭에서
 on the Home tab to launch it.	 dans l'onglet Accueil pour le lancer.	 en la pestaña Inicio para iniciarlo.	 nella scheda Home per avviarlo.	 を追加すると起動できます。	 을(를) 추가하면 실행할 수 있습니다.
Launching 	Lancement de 	Iniciando 	Avvio di 	起動中: 	실행 중:
 to join 	 pour rejoindre 	 para unirte a 	 per entrare da 	 - 参加先: 	 - 참가 대상:
Could not launch 	Impossible de lancer 	No se pudo iniciar 	Impossibile avviare 	起動できません: 	실행할 수 없음:
Decline invite	Refuser l'invitation	Rechazar invitación	Rifiuta invito	招待を拒否	초대 거절
no such title	jeu inconnu	no existe ese juego	gioco sconosciuto	そのタイトルはありません	해당 타이틀이 없습니다
 is already running	 est déjà en cours	 ya está abierto	 è già aperto	 は既に起動しています	 은(는) 이미 실행 중입니다
no executable configured	aucun exécutable configuré	no hay ejecutable configurado	nessun eseguibile configurato	実行ファイルが設定されていません	실행 파일이 설정되지 않았습니다
The game	Le jeu	El juego	Il gioco	ゲーム	게임
 stopped on signal 	 s'est arrêté sur le signal 	 se detuvo con la señal 	 si è fermato con il segnale 	 はシグナルで停止しました: 	 이(가) 신호로 중지됨:
 exited with code 	 s'est terminé avec le code 	 terminó con el código 	 è terminato con il codice 	 は終了しました。コード: 	 이(가) 종료됨. 코드:
 exited	 s'est terminé	 se ha cerrado	 è terminato	 が終了しました	 이(가) 종료되었습니다
 is running; quit it before updating	 est en cours ; quittez-le avant de mettre à jour	 está abierto; ciérralo antes de actualizar	 è aperto; chiudilo prima di aggiornare	 が起動中です。更新前に終了してください	 이(가) 실행 중입니다. 업데이트 전에 종료하세요
a game is running; quit it first, the launcher restarts to update	un jeu est en cours ; quittez-le d'abord, le lanceur redémarre pour se mettre à jour	hay un juego abierto; ciérralo primero, el lanzador se reinicia para actualizarse	c'è un gioco aperto; chiudilo prima, il launcher si riavvia per aggiornarsi	ゲームが起動中です。先に終了してください。更新のためランチャーが再起動します	게임이 실행 중입니다. 먼저 종료하세요. 업데이트를 위해 런처가 다시 시작됩니다
no package yet	pas encore de package	aún no hay paquete	nessun pacchetto ancora	パッケージ未配置	아직 패키지 없음
Launcher update failed: 	Échec de la mise à jour du lanceur : 	Fallo al actualizar el lanzador: 	Aggiornamento del launcher non riuscito: 	ランチャーの更新に失敗: 	런처 업데이트 실패:
XenonLive Launcher 	XenonLive Launcher 	XenonLive Launcher 	XenonLive Launcher 	XenonLive Launcher 	XenonLive Launcher
 is available - update from Home	 est disponible - mettez à jour depuis Accueil	 está disponible - actualiza desde Inicio	 è disponibile - aggiorna da Home	 が利用可能です - ホームから更新	 사용 가능 - 홈에서 업데이트
 installed	 installé	 instalado	 installato	 をインストールしました	 설치됨
Signed in as 	Connecté en tant que 	Sesión iniciada como 	Connesso come 	サインイン: 	로그인:
Signed out: 	Déconnecté : 	Sesión cerrada: 	Disconnesso: 	サインアウト: 	로그아웃:
Connected to 	Connecté à 	Conectado a 	Connesso a 	接続先: 	연결됨:
Connection lost; retrying	Connexion perdue ; nouvel essai	Conexión perdida; reintentando	Connessione persa; nuovo tentativo	接続が切れました。再接続中	연결 끊김. 다시 시도 중
 wants to be your friend	 veut devenir votre ami	 quiere ser tu amigo	 vuole essere tuo amico	 からフレンド申請が届きました	님이 친구 요청을 보냈습니다
 accepted your friend request	 a accepté votre demande d'ami	 ha aceptado tu solicitud de amistad	 ha accettato la tua richiesta di amicizia	 がフレンド申請を承認しました	님이 친구 요청을 수락했습니다
 invited you to 	 vous a invité à 	 te ha invitado a 	 ti ha invitato a 	 からの招待: 	님이 초대했습니다:
 accepted	 a accepté	 ha aceptado	 ha accettato	 が承認しました: 	님이 수락했습니다:
 declined	 a refusé	 ha rechazado	 ha rifiutato	 が拒否しました: 	님이 거절했습니다:
 your invitation	 votre invitation	 tu invitación	 il tuo invito	あなたの招待	내 초대
Reply	Répondre	Responder	Rispondi	返信	답장
Achievement unlocked: 	Succès débloqué : 	Logro desbloqueado: 	Obiettivo sbloccato: 	実績解除: 	도전 과제 달성:
Home	Accueil	Inicio	Home	ホーム	홈
Invites	Invitations	Invitaciones	Inviti	招待	초대
Support	Soutien	Apoyo	Sostieni	支援	후원
online	en ligne	en línea	online	オンライン	온라인
offline	hors ligne	sin conexión	offline	オフライン	오프라인
A monthly or one-time contribution. It pays for the server this launcher talks to.	Une contribution mensuelle ou ponctuelle. Elle paie le serveur auquel ce lanceur parle.	Una aportación mensual o única. Paga el servidor con el que habla este lanzador.	Un contributo mensile o una tantum. Paga il server con cui parla questo launcher.	月額または一回限りの支援。このランチャーが接続するサーバーの費用に充てられます。	월간 또는 일회성 후원. 이 런처가 연결하는 서버 비용에 쓰입니다.
The port's source. Bug reports and pull requests go here.	Le code source du port. Les rapports de bugs et les pull requests vont ici.	El código fuente del port. Los informes de errores y pull requests van aquí.	Il codice sorgente del port. Segnalazioni di bug e pull request vanno qui.	移植版のソースコード。バグ報告とプルリクエストはこちらへ。	포트의 소스 코드. 버그 보고와 풀 리퀘스트는 여기로.
The same, for Case West.	Idem, pour Case West.	Lo mismo, para Case West.	Lo stesso, per Case West.	同上、Case West 用。	Case West도 마찬가지입니다.
Language	Langue	Idioma	Lingua	言語	언어
System language	Langue du système	Idioma del sistema	Lingua di sistema	システムの言語	시스템 언어
Launcher	Lanceur	Lanzador	Launcher	ランチャー	런처
%u of %u	%u sur %u	%u de %u	%u su %u	%u / %u	%u / %u
 invited you to play - Shift+Tab to answer	 vous invite à jouer - Shift+Tab pour répondre	 te invita a jugar - Shift+Tab para responder	 ti invita a giocare - Shift+Tab per rispondere	 からゲームに招待 - Shift+Tab で応答	님이 게임에 초대했습니다 - Shift+Tab으로 응답
Joining 	Rejoint la partie de 	Uniéndose a la partida de 	Entrando nella partita di 	参加中: 	참가 중: 
's game	 	 	 	 のゲーム	님의 게임
  -  Shift+Tab to reply	  -  Shift+Tab pour répondre	  -  Shift+Tab para responder	  -  Shift+Tab per rispondere	  -  Shift+Tab で返信	  -  Shift+Tab으로 답장
Signed out of XenonLive	Déconnecté de XenonLive	Sesión de XenonLive cerrada	Disconnesso da XenonLive	XenonLive からサインアウトしました	XenonLive에서 로그아웃됨
XenonLive connection lost; retrying	Connexion à XenonLive perdue ; nouvel essai	Conexión con XenonLive perdida; reintentando	Connessione a XenonLive persa; nuovo tentativo	XenonLive との接続が切れました。再接続中	XenonLive 연결 끊김. 다시 시도 중
Achievement unlocked	Succès débloqué	Logro desbloqueado	Obiettivo sbloccato	実績解除	도전 과제 달성
